date,Station_No,PM2.5,TSP,O3,CO,NO2,SO2,Temperature,Humidity
21-04-2021 09:00,2,17.25,43.43666667,62.97958333,0.0,23.58773333,296.06,30.96666667,72.65166667
21-04-2021 09:00,3,40.87333333,0.0,39.61988333,608.144,34.31513333,262.4366667,30.445,76.20666667
21-04-2021 09:00,4,21.32166667,50.345,73.28533333,1366.987,31.86853333,365.49,30.855,71.58666667
21-04-2021 09:00,5,17.72666667,41.83666667,71.74765,1532.966,39.39653333,485.1366667,30.89666667,71.45666667
21-04-2021 09:00,6,19.21,47.97833333,80.45028333,1469.172,79.29493333,361.1233333,30.29833333,74.47333333
21-04-2021 10:00,1,24.12833333,56.545,102.56675,1076.285,55.20533333,282.5233333,32.08333333,68.51833333
21-04-2021 10:00,2,15.375,40.48,60.98386667,0.0,14.46003333,289.51,31.65166667,69.38333333
21-04-2021 10:00,3,22.43,0.0,41.84461667,554.855,26.4421,247.1533333,31.04166667,73.33
21-04-2021 10:00,4,27.04833333,64.49166667,88.1387,1296.89,29.9238,351.5166667,31.68833333,68.55166667
21-04-2021 10:00,5,18.75,46.27666667,95.14006667,1428.298,44.35246667,459.81,31.48833333,68.94
21-04-2021 10:00,6,20.29,50.25833333,83.75466667,1290.396,70.82593333,345.4033333,30.71166667,72.43333333
21-04-2021 11:00,1,26.31833333,63.16,128.3802,884.521,86.2897,272.0433333,31.93833333,71.4
21-04-2021 11:00,2,14.415,38.845,61.18016667,0.0,9.755033333,288.2,32.56333333,65.035
21-04-2021 11:00,3,19.39666667,0.0,46.68668333,558.675,21.4548,256.3233333,31.43833333,70.945
21-04-2021 11:00,4,24.06833333,55.62166667,75.67365,987.661,20.6079,333.6133333,32.325,65.91666667
21-04-2021 11:00,5,20.26666667,44.36,69.06488333,1054.129,23.30543333,451.95,32.48833333,65.56666667
21-04-2021 11:00,6,21.6862069,49.66896552,87.45503448,1090.675862,68.33606897,305.3655172,31.40517241,69.75862069
21-04-2021 12:00,1,20.005,47.68333333,107.1798,689.51,72.77066667,242.35,31.945,69.68166667
21-04-2021 12:00,2,12.04333333,35.71333333,56.76341667,0.0,4.579533333,292.5666667,33.64666667,59.335
21-04-2021 12:00,3,14.29622642,0.0,41.03781132,540.7822642,17.32860377,264.4716981,33.04150943,62.78679245
21-04-2021 12:00,4,17.05833333,38.355,51.39788333,686.072,12.9858,331.43,34.86666667,57.405
21-04-2021 12:00,5,17.05,35.82833333,79.59965,1087.554,27.53993333,449.33,32.74833333,63.22166667
21-04-2021 12:00,6,14.96833333,32.62333333,75.11746667,975.246,53.2606,296.9333333,32.31166667,64.27833333
21-04-2021 13:00,1,17.50166667,40.99666667,103.8427,646.535,86.25833333,230.9966667,32.145,67.11333333
21-04-2021 13:00,2,12.74,36.89666667,54.50596667,0.0,0.219566667,334.4866667,34.505,56.03833333
21-04-2021 13:00,3,16.43333333,0.0,22.99981667,539.384,0.125466667,329.2466667,33.99333333,58.59333333
21-04-2021 13:00,4,15.6,35.435,55.58561667,721.407,5.959666667,334.9233333,33.585,59.065
21-04-2021 13:00,5,16.63166667,42.10833333,93.56966667,962.831,33.4996,416.1433333,32.98833333,60.76166667
21-04-2021 13:00,6,14.935,33.33333333,58.36653333,854.534,21.4548,311.3433333,33.31666667,59.525
21-04-2021 14:00,1,15.925,38.82333333,124.4542,790.549,123.4278333,228.3766667,31.66666667,68.00333333
21-04-2021 14:00,2,14.33666667,38.88833333,104.13715,0.0,16.2793,300.8633333,33.32833333,58.74333333
21-04-2021 14:00,3,14.92641509,0.0,64.29750943,595.7037736,21.09260377,288.6943396,32.53584906,62.76037736
21-04-2021 14:00,4,18.36833333,43.41833333,90.59245,1049.163,34.4406,352.39,33.05166667,60.79666667
21-04-2021 14:00,5,18.435,47.08666667,129.7543,886.622,49.08883333,358.0666667,32.6,62.05666667
21-04-2021 14:00,6,15.38166667,36.25333333,97.65925,878.791,60.63176667,282.0866667,32.77333333,61.205
21-04-2021 15:00,1,18.24333333,46.49333333,148.0429167,942.203,148.3329667,240.6033333,31.495,69.72833333
21-04-2021 15:00,2,16.24833333,41.74666667,129.06725,0.0,32.2763,282.96,32.76,60.92333333
21-04-2021 15:00,3,22.81833333,0.0,102.6321833,757.888,50.4376,262.4366667,31.975,66.26833333
21-04-2021 15:00,4,24.54166667,63.55166667,102.6976167,1396.401,48.96336667,395.1833333,32.73833333,62.275
21-04-2021 15:00,5,27.245,151.0,143.5280167,1320.956,60.28673333,414.3966667,32.49,63.375
21-04-2021 15:00,6,18.26333333,43.96333333,112.38175,1114.103,79.67133333,317.02,32.53,61.98166667
21-04-2021 16:00,1,20.58333333,52.36833333,152.42695,957.101,146.4196,247.59,30.75333333,72.71666667
21-04-2021 16:00,2,19.77627119,47.58813559,138.5079492,0.0,47.24138983,394.7762712,32.54915254,62.50338983
21-04-2021 16:00,3,23.07666667,0.0,88.20413333,788.066,46.8618,282.96,31.93833333,65.63666667
21-04-2021 16:00,4,29.47333333,74.20333333,110.8440667,1409.771,56.46,386.0133333,32.27333333,65.23833333
21-04-2021 16:00,5,20.71833333,64.45333333,135.5124333,1453.51,64.1762,439.7233333,32.26,64.03833333
21-04-2021 16:00,6,19.785,50.44833333,118.9250833,1846.206,96.10746667,484.7,32.42833333,63.23666667
21-04-2021 17:00,1,17.40666667,39.305,147.8793333,772.404,161.0364667,241.4766667,29.48333333,82.20166667
21-04-2021 17:00,2,21.695,48.71,162.4055333,0.0,75.5623,359.8133333,30.45166667,75.46333333
21-04-2021 17:00,3,24.63666667,0.0,101.4216667,1112.766,61.7296,345.4033333,31.17833333,71.87833333
21-04-2021 17:00,4,24.105,56.625,118.1726,997.402,80.11046667,305.6666667,30.45166667,77.555
21-04-2021 17:00,5,16.51166667,35.95,137.3445667,1185.728,76.81696667,413.0866667,30.46833333,76.99333333
21-04-2021 17:00,6,20.3,49.16833333,122.4257667,1783.367,121.2321667,483.8266667,30.72166667,75.78333333
21-04-2021 18:00,1,14.41,32.28666667,120.0701667,753.113,151.9715,220.9533333,29.02833333,82.66166667
21-04-2021 18:00,2,19.025,45.59833333,142.8409667,0.0,77.94616667,329.2466667,29.52166667,76.38166667
21-04-2021 18:00,3,19.44666667,0.0,92.8499,1045.152,66.1523,313.9633333,29.82833333,75.90333333
21-04-2021 18:00,4,23.685,55.18833333,100.60375,1128.428,74.55856667,305.23,29.97333333,77.16333333
21-04-2021 18:00,5,15.78166667,32.89,118.6960667,1160.325,70.6691,379.9,29.90833333,76.30166667
21-04-2021 18:00,6,18.92833333,42.56166667,107.3761,1395.637,114.6765333,370.2933333,29.89,76.60666667
21-04-2021 19:00,1,14.25333333,32.18166667,114.5737667,929.406,157.5547667,237.11,28.75833333,82.60666667
